,matchid,versionpatch,matchdate,maptype,queue,p_names,p_sides,p_champs,p_lanes,p_roles,p_golds,p_wins
0,2311774750,6.20.160.4428,2016-10-06 18:33:13.848000,Map.summoners_rift,Queue.ranked_dynamic_queue,"['Xinthus', 'Silas Kroeger', 'Yuuki Aoi', 'FVV Maple', 'Just Lampost', 'Contractz', 'ZatsMod', 'Myloo', 'mulgokizary', '24736512']","[<Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>]","['Jhin', 'Zac', 'Thresh', 'Ryze', 'Gangplank', 'Bard', 'Jayce', 'Gnar', 'Maokai', 'Ezreal']","[<Lane.bot_lane: 'BOTTOM'>, <Lane.jungle: 'JUNGLE'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.top_lane: 'TOP'>, <Lane.jungle: 'JUNGLE'>, <Lane.bot_lane: 'BOTTOM'>]","[<Role.carry: 'DUO_CARRY'>, <Role.none: 'NONE'>, <Role.support: 'DUO_SUPPORT'>, <Role.solo: 'SOLO'>, <Role.solo: 'SOLO'>, <Role.support: 'DUO_SUPPORT'>, <Role.solo: 'SOLO'>, <Role.solo: 'SOLO'>, <Role.none: 'NONE'>, <Role.carry: 'DUO_CARRY'>]","[11780, 12195, 9780, 14921, 17962, 9170, 10611, 11885, 10043, 12372]","[True, True, True, True, True, False, False, False, False, False]"
1,2311770966,6.20.160.4428,2016-10-06 17:30:54.533000,Map.summoners_rift,Queue.ranked_dynamic_queue,"['Volt', 'Yami', 'Burp', 'Entranced', 'godrjsdnd', 'Silas Kroeger', 'rhubarbs', 'mulgokizary', '24736512', 'bobqinXD']","[<Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>]","['Sivir', 'Elise', 'Orianna', 'Jayce', 'Brand', 'Hecarim', 'Karma', 'Lucian', 'Poppy', 'Cassiopeia']","[<Lane.bot_lane: 'BOTTOM'>, <Lane.jungle: 'JUNGLE'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.jungle: 'JUNGLE'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.top_lane: 'TOP'>, <Lane.mid_lane: 'MIDDLE'>]","[<Role.carry: 'DUO_CARRY'>, <Role.none: 'NONE'>, <Role.solo: 'SOLO'>, <Role.solo: 'SOLO'>, <Role.support: 'DUO_SUPPORT'>, <Role.none: 'NONE'>, <Role.support: 'DUO_SUPPORT'>, <Role.carry: 'DUO_CARRY'>, <Role.solo: 'SOLO'>, <Role.solo: 'SOLO'>]","[16006, 15973, 14626, 17676, 13647, 20262, 14119, 17146, 17751, 17719]","[False, False, False, False, False, True, True, True, True, True]"
2,2311728537,6.20.160.4428,2016-10-06 16:44:02.839000,Map.summoners_rift,Queue.ranked_dynamic_queue,"['mulgokizary', '24736512', 'godrjsdnd', 'Feitan', 'Annie Bot', 'Silas Kroeger', 'hashinshin', 'Dontkillmek', 'Myloo', 'MongolWarrior']","[<Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>]","['Elise', 'Rumble', 'Jhin', 'Janna', 'Annie', 'Hecarim', 'Darius', 'Karma', 'Vladimir', 'Lucian']","[<Lane.jungle: 'JUNGLE'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.jungle: 'JUNGLE'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.bot_lane: 'BOTTOM'>]","[<Role.none: 'NONE'>, <Role.solo: 'SOLO'>, <Role.carry: 'DUO_CARRY'>, <Role.support: 'DUO_SUPPORT'>, <Role.solo: 'SOLO'>, <Role.none: 'NONE'>, <Role.solo: 'SOLO'>, <Role.support: 'DUO_SUPPORT'>, <Role.solo: 'SOLO'>, <Role.carry: 'DUO_CARRY'>]","[10096, 9844, 8938, 6470, 9200, 13913, 12021, 9397, 12080, 12048]","[False, False, False, False, False, True, True, True, True, True]"
3,2311732705,6.20.160.4428,2016-10-06 14:09:26.039000,Map.summoners_rift,Queue.ranked_dynamic_queue,"['I Jason I', 'Autolykus', 'tired', 'k3soju xD', 'tahx', 'Silas Kroeger', 'chakhae', 'hashinshin', 'liliilllllliii', 'Hello Im Josh']","[<Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>]","['Ezreal', 'Malzahar', 'Thresh', 'Viktor', 'Zac', 'Hecarim', 'Sivir', 'Jax', 'Alistar', ""Vel'Koz""]","[<Lane.bot_lane: 'BOTTOM'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.jungle: 'JUNGLE'>, <Lane.jungle: 'JUNGLE'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.mid_lane: 'MIDDLE'>]","[<Role.carry: 'DUO_CARRY'>, <Role.solo: 'SOLO'>, <Role.support: 'DUO_SUPPORT'>, <Role.solo: 'SOLO'>, <Role.none: 'NONE'>, <Role.none: 'NONE'>, <Role.carry: 'DUO_CARRY'>, <Role.solo: 'SOLO'>, <Role.support: 'DUO_SUPPORT'>, <Role.solo: 'SOLO'>]","[15602, 13371, 9836, 15382, 13108, 16052, 18456, 16461, 11254, 15245]","[False, False, False, False, False, True, True, True, True, True]"
4,2311730987,6.20.160.4428,2016-10-06 12:41:13.249000,Map.summoners_rift,Queue.ranked_dynamic_queue,"['Silas Kroeger', 'xFSN Pupper', 'IKingvex', 'Fragas', 'clg imaqtpie69', 'Vincente Vu', 'ShorterACE 1', 'Myloo', 'BmxSpecks', 'tardzaned']","[<Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>]","[""Rek'Sai"", 'Thresh', 'Lucian', 'Kennen', 'Xerath', 'Ezreal', 'Orianna', 'Poppy', 'Karma', 'Olaf']","[<Lane.jungle: 'JUNGLE'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.top_lane: 'TOP'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.jungle: 'JUNGLE'>]","[<Role.none: 'NONE'>, <Role.support: 'DUO_SUPPORT'>, <Role.carry: 'DUO_CARRY'>, <Role.solo: 'SOLO'>, <Role.solo: 'SOLO'>, <Role.carry: 'DUO_CARRY'>, <Role.solo: 'SOLO'>, <Role.solo: 'SOLO'>, <Role.support: 'DUO_SUPPORT'>, <Role.none: 'NONE'>]","[14215, 11299, 18211, 14267, 17300, 15407, 12918, 12918, 10083, 15180]","[True, True, True, True, True, False, False, False, False, False]"
5,2311730190,6.20.160.4428,2016-10-06 11:48:58.957000,Map.summoners_rift,Queue.ranked_dynamic_queue,"['Fragas', 'Silas Kroeger', 'IKingvex', 'Liquid fabbbyyy', 'chakhae', 'xFSN Saber', 'tardzaned', 'clg imaqtpie69', 'Autolykus', 'Rositajonez']","[<Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>]","['Karma', 'Zac', 'Corki', 'Ezreal', 'Alistar', 'Lucian', 'Kindred', 'Xerath', 'Malzahar', 'Tahm Kench']","[<Lane.top_lane: 'TOP'>, <Lane.jungle: 'JUNGLE'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.jungle: 'JUNGLE'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>]","[<Role.solo: 'SOLO'>, <Role.none: 'NONE'>, <Role.solo: 'SOLO'>, <Role.carry: 'DUO_CARRY'>, <Role.support: 'DUO_SUPPORT'>, <Role.carry: 'DUO_CARRY'>, <Role.none: 'NONE'>, <Role.solo: 'SOLO'>, <Role.solo: 'SOLO'>, <Role.support: 'DUO_SUPPORT'>]","[12918, 13022, 18178, 17942, 11925, 19134, 18282, 19118, 16754, 13166]","[False, False, False, False, False, True, True, True, True, True]"
6,2311279983,6.20.160.4428,2016-10-05 22:14:40.832000,Map.summoners_rift,Queue.ranked_dynamic_queue,"['Tentacool', 'Shopaholic Louis', 'bobqinDX', 'stuntopolis', 'Silas Kroeger', 'Adrian Riven', 'battlerite gamer', 'TwitchChunkylol', 'FZ3R0', 'Pobelter']","[<Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>]","['Kennen', 'Ezreal', 'Twisted Fate', 'Morgana', 'Olaf', 'Alistar', 'Nunu', 'Kled', 'Caitlyn', 'Syndra']","[<Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.jungle: 'JUNGLE'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.jungle: 'JUNGLE'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.mid_lane: 'MIDDLE'>]","[<Role.solo: 'SOLO'>, <Role.carry: 'DUO_CARRY'>, <Role.solo: 'SOLO'>, <Role.support: 'DUO_SUPPORT'>, <Role.none: 'NONE'>, <Role.support: 'DUO_SUPPORT'>, <Role.none: 'NONE'>, <Role.solo: 'SOLO'>, <Role.carry: 'DUO_CARRY'>, <Role.solo: 'SOLO'>]","[16477, 18801, 17752, 14483, 15159, 12376, 13644, 15990, 15776, 17675]","[True, True, True, True, True, False, False, False, False, False]"
7,2311246470,6.20.160.4428,2016-10-05 21:38:13.040000,Map.summoners_rift,Queue.ranked_dynamic_queue,"['Pobelter', 'VeryBitter', 'Akaadian4', 'TwitchChunkylol', 'Jackie Nimb', 'Silas Kroeger', 'RAHULK', 'stuntopolis', 'Titan Dweevil', 'I Jason I']","[<Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>]","['Twisted Fate', 'Miss Fortune', 'Kindred', 'Kled', 'Alistar', 'Hecarim', 'Fiora', 'Janna', 'Brand', 'Ezreal']","[<Lane.jungle: 'JUNGLE'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.jungle: 'JUNGLE'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.jungle: 'JUNGLE'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.bot_lane: 'BOTTOM'>]","[<Role.none: 'NONE'>, <Role.carry: 'DUO_CARRY'>, <Role.none: 'NONE'>, <Role.solo: 'SOLO'>, <Role.support: 'DUO_SUPPORT'>, <Role.none: 'NONE'>, <Role.solo: 'SOLO'>, <Role.support: 'DUO_SUPPORT'>, <Role.solo: 'SOLO'>, <Role.carry: 'DUO_CARRY'>]","[9156, 6887, 8278, 6884, 5171, 12285, 13099, 9424, 10917, 11315]","[False, False, False, False, False, True, True, True, True, True]"
8,2311222306,6.20.160.4428,2016-10-05 20:55:01.259000,Map.summoners_rift,Queue.ranked_dynamic_queue,"['Pants are Dragon', 'Knubzyy', 'KElTHMCBRlEF', 'Pobelter', 'FreeXpHere', 'VeryBitter', 'Dhokla', 'Silas Kroeger', 'Jaycerino', 'TwitchChunkylol']","[<Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>]","['Zac', 'Taliyah', 'Jinx', 'Gangplank', 'Janna', 'Karma', 'Rumble', 'Hecarim', 'Jayce', 'Corki']","[<Lane.jungle: 'JUNGLE'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.top_lane: 'TOP'>, <Lane.jungle: 'JUNGLE'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.bot_lane: 'BOTTOM'>]","[<Role.none: 'NONE'>, <Role.solo: 'SOLO'>, <Role.carry: 'DUO_CARRY'>, <Role.solo: 'SOLO'>, <Role.support: 'DUO_SUPPORT'>, <Role.support: 'DUO_SUPPORT'>, <Role.solo: 'SOLO'>, <Role.none: 'NONE'>, <Role.solo: 'SOLO'>, <Role.carry: 'DUO_CARRY'>]","[13118, 14211, 16434, 15397, 10163, 9155, 13019, 12966, 12992, 11444]","[True, True, True, True, True, False, False, False, False, False]"
9,2311198690,6.20.160.4428,2016-10-05 20:10:50.430000,Map.summoners_rift,Queue.ranked_dynamic_queue,"['Moraitis', 'Taza', 'N1ghtWa7ch', 'Silas Kroeger', 'who do you love', 'Winter is back', 'Swifte', 'Pants are Dragon', 'Yuuki Aoi', 'FVV Maple']","[<Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.blue: 100>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>, <Side.red: 200>]","['Jhin', 'Bard', 'Rumble', 'Hecarim', 'Jayce', 'Malphite', 'Ezreal', 'Janna', 'Zac', 'Ryze']","[<Lane.bot_lane: 'BOTTOM'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.top_lane: 'TOP'>, <Lane.jungle: 'JUNGLE'>, <Lane.mid_lane: 'MIDDLE'>, <Lane.top_lane: 'TOP'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.bot_lane: 'BOTTOM'>, <Lane.jungle: 'JUNGLE'>, <Lane.mid_lane: 'MIDDLE'>]","[<Role.carry: 'DUO_CARRY'>, <Role.support: 'DUO_SUPPORT'>, <Role.solo: 'SOLO'>, <Role.none: 'NONE'>, <Role.solo: 'SOLO'>, <Role.solo: 'SOLO'>, <Role.carry: 'DUO_CARRY'>, <Role.support: 'DUO_SUPPORT'>, <Role.none: 'NONE'>, <Role.solo: 'SOLO'>]","[8549, 7658, 10466, 12294, 10117, 6011, 7225, 5321, 6886, 7963]","[True, True, True, True, True, False, False, False, False, False]"
